Seller,Relationship,Customer1,Relationship,Customer2,SellerJurisdiction,SellerBUNature,CustomerJurisdiction1,CustomerBUNature1,CustomerJurisdiction2,CustomerBUNature2
723ABF7D3661E3DCB6910DFF3D9E6CDE,Sellto,EF6A3ECFBC833CD224FC7C6A99EF582B,,,VN0205,"Service Provision,Recipient of Goods or Services,Supplier of Services",ZA0104,Service Provision,,
723ABF7D3661E3DCB6910DFF3D9E6CDE,Sellto,31A86D2F028327515631EBD5721F0F5B,,,VN0205,"Service Provision,Recipient of Goods or Services,Supplier of Services",ZA0104,"Others,Supplier of Services",,
3DD593FF986A16E6589B4D7207F30762,Sellto,5EB0BA2E05869898E9E2E4C598D37D1C,SellTo,5B7497CE7E09E7DC303121DE34C858BE,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0101,"Input Service Distributor (ISD),Retail Business,Service Provision,Recipient of Goods or Services",ZA0402,"Others,Recipient of Goods or Services"
163DF85520F37E3FE088518AD41948C0,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,ZD1403,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
63270B25266B30A7737AE79E507DF2BB,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,XU0305,"Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
0CA52976A7038DCCEE8B59D8BF400379,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,UI0202,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
666FBE67534F7148D35B8E83DC8082E5,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,WM0503,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
29ECCB55FE91C0FA204913572B373959,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,WJ0101,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
C08F6B6875B5197729DAE17D1806CBD0,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,VR0601,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
EE51A590941D4ADEEADB13A39CB46A91,Sellto,DF77075A3F5BEB9745CA2BD102E3C1D1,,,ZU0105,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
